Time,601_volt,620_volt,623_volt,634_volt,640_volt,647_volt,670_volt,671_volt,673_volt,674_volt,686_volt
08:24.3,0.086998,-0.41,0,-0.00099945,-0.089996,0.042999,0.020996,0.10799,-0.087006,-0.085999,-0.195
08:24.4,0.086998,-0.432,-0.043999,-0.00099945,-0.089996,0.042999,0.042999,0.10799,-0.087006,-0.108,-0.173
08:24.5,0.086998,-0.432,-0.043999,-0.00099945,0,0.042999,0.065002,0.10799,-0.108,-0.13,-0.173
08:24.6,0.10799,-0.475,-0.021996,-0.00099945,0,0.022003,0.065002,0.13,-0.108,-0.13,-0.173
08:24.7,0.064995,-0.518,0,-0.00099945,-0.089996,0.042999,0.065002,0.10799,-0.087006,-0.085999,-0.195
08:24.8,0.064995,-0.54,0,-0.00099945,-0.089996,0.022003,0.065002,0.086998,-0.108,-0.108,-0.173
08:24.9,-0.021004,-0.497,0,-0.00099945,0.00099945,0.022003,0.085999,0.064995,-0.108,-0.065002,-0.173
08:25.0,0,-0.518,-0.021996,-0.00099945,0.00099945,0.042999,0.065002,0.064995,-0.108,NaN,-0.195
08:25.1,0,-0.41,0,0,0.00099945,0.022003,0.085999,0.086998,-0.108,NaN,-0.195
08:25.2,0.021996,-0.432,0,-0.00099945,0.00099945,0.042999,0.085999,0.10799,-0.108,NaN,-0.195
08:25.3,0,-0.41,0,-0.00099945,-0.089996,0.022003,0.085999,0.10799,-0.108,NaN,-0.216
08:25.4,0.021996,-0.41,0,-0.00099945,-0.089996,0.022003,0.065002,0.10799,-0.108,NaN,-0.195
08:25.5,0.021996,-0.45399,0,-0.00099945,-0.089996,0.022003,0.065002,0.10799,-0.108,NaN,-0.195
08:25.6,0.021996,-0.367,0,-0.00099945,0.00099945,0.042999,0.065002,0.10799,-0.108,NaN,-0.173
08:25.7,0,-0.346,0,-0.00099945,0.00099945,0.022003,0.065002,0.10799,-0.108,NaN,-0.173
08:25.8,-0.021004,-0.389,-0.021996,-0.00099945,0.00099945,0.042999,0.065002,0.10799,-0.108,NaN,-0.173
08:25.9,-0.021004,-0.324,-0.021996,-0.00099945,-0.089996,0.042999,0.065002,0.10799,-0.108,NaN,-0.173
08:26.0,0,-0.30199,-0.021996,-0.00099945,-0.089996,0.042999,0.085999,0.10799,-0.065002,-0.108,-0.195
08:26.1,-0.021004,-0.367,-0.021996,-0.00099945,-0.089996,0.042999,0.065002,0.10799,-0.108,-0.151,-0.195
08:26.2,-0.021004,-0.324,-0.021996,-0.00099945,-0.089996,0.022003,0.065002,0.10799,-0.108,-0.13,-0.195
08:26.3,-0.043007,-0.346,0,-0.00099945,-0.089996,0.042999,0.065002,0.13,-0.087006,-0.108,-0.195
08:26.4,-0.064003,-0.346,0,-0.00099945,-0.089996,0.042999,0.065002,0.10799,-0.087006,-0.108,-0.216
08:26.5,-0.064003,-0.45399,0,-0.00099945,-0.089996,0.022003,0.065002,0.152,-0.087006,-0.085999,-0.195
08:26.6,-0.043007,-0.432,-0.021996,-0.00099945,0.00099945,0.022003,0.065002,0.13,-0.087006,-0.065002,-0.216
08:26.7,-0.021004,-0.45399,0,-0.00099945,-0.089996,0.042999,0.065002,0.10799,-0.108,-0.108,-0.195
08:26.8,0.021996,-0.518,0,-0.00099945,-0.089996,0.042999,0.042999,0.13,-0.108,-0.108,-0.195
08:26.9,0.064995,-0.562,0,-0.00099945,0.00099945,0.022003,0.042999,0.10799,-0.108,-0.085999,-0.195
08:27.0,0.064995,-0.54,0,-0.00099945,0.00099945,0.042999,0.042999,0.10799,-0.108,-0.108,-0.195
08:27.1,0.064995,-0.475,0,-0.00099945,-0.089996,0.022003,0.042999,0.13,-0.108,-0.085999,-0.195
08:27.2,0.043999,-0.432,0,-0.00099945,-0.089996,0.042999,0.042999,0.13,-0.087006,-0.108,-0.195
08:27.3,0,-0.432,0,-0.00099945,-0.089996,0.022003,0.065002,0.13,-0.108,-0.13,-0.195
08:27.4,-0.043007,-0.475,0.021004,-0.00099945,-0.089996,0.022003,0.065002,0.13,-0.108,-0.085999,-0.195
08:27.5,-0.021004,-0.475,0,-0.00099945,-0.089996,0.022003,0.042999,0.10799,-0.13,-0.108,-0.195
